#SampleID	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil	Proportion_manure	Proportion_SD_manure	Proportion_Nt	Proportion_SD_Nt	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
S_108	A101MaCpR3_S410_L001_MINLEN-MAXLEN.q25_fixlized.fa	A101MaCpR3	C2	5.6964	R3	water	Cp	sink	x	x	sc_samples	38	no	0.054	0.00424264068711929	0.1015	0.00212132034355963	0.8445	0.00212132034355964	NA	NA
S_109	A102MaCpR3_S411_L001_MINLEN-MAXLEN.q25_fixlized.fa	A102MaCpR3	C3	4.8076	R3	water	Cp	sink	x	x	sc_samples	38	no	0.077	0.00707106781186548	0.084	0	0.839	0.00707106781186548	NA	NA
S_11	A004CoNtR1_S301_L001_MINLEN-MAXLEN.q25_fixlized.fa	A004CoNtR1	B1	4.1915	R1	water	Nt	sink	x	x	sc_samples	10	no	0.32	0.00424264068711929	0.033	0.0014142135623731	0.647	0.00565685424949239	NA	NA
S_110	A103CoNtR4_S421_L001_MINLEN-MAXLEN.q25_fixlized.fa	A103CoNtR4	D1	7.2922	R4	water	Nt	sink	x	x	sc_samples	59	no	0	0	0.036	0.00424264068711928	0.964	0.00424264068711929	NA	NA
S_111	A104CoNtR4_S422_L001_MINLEN-MAXLEN.q25_fixlized.fa	A104CoNtR4	D2	7.2316	R4	water	Nt	sink	x	x	sc_samples	59	no	0	0	0.0475	0.00212132034355964	0.9525	0.00212132034355964	NA	NA
S_112	A105CoNtR4_S423_L001_MINLEN-MAXLEN.q25_fixlized.fa	A105CoNtR4	D3	5.4944	R4	water	Nt	sink	x	x	sc_samples	59	no	0.022	0.00565685424949238	0.037	0.00141421356237309	0.941	0.00424264068711921	NA	NA
S_113	A106CoNtR4_S433_L001_MINLEN-MAXLEN.q25_fixlized.fa	A106CoNtR4	E1	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.1485	0.0120208152801713	0.067	0	0.7845	0.0120208152801713	NA	NA
S_114	A107CoNtR4_S434_L001_MINLEN-MAXLEN.q25_fixlized.fa	A107CoNtR4	E2	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.141	0.00565685424949237	0.062	0	0.797	0.00565685424949239	NA	NA
S_115	A108CoNtR4_S435_L001_MINLEN-MAXLEN.q25_fixlized.fa	A108CoNtR4	E3	6.1004	R4	water	Nt	sink	x	x	sc_samples	59	no	0.128	0.00282842712474619	0.0535	0.00777817459305202	0.8185	0.00494974746830584	NA	NA
S_116	A109CoNtR4_S445_L001_MINLEN-MAXLEN.q25_fixlized.fa	A109CoNtR4	F1	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.1515	0.00777817459305203	0.3885	0.00636396103067893	0.46	0.0014142135623731	NA	NA
S_117	A110CoNtR4_S446_L001_MINLEN-MAXLEN.q25_fixlized.fa	A110CoNtR4	F2	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.1	0.0014142135623731	0.301	0.0014142135623731	0.599	0	NA	NA
S_118	A111CoNtR4_S447_L001_MINLEN-MAXLEN.q25_fixlized.fa	A111CoNtR4	F3	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.128	0.014142135623731	0.375	0	0.497	0.014142135623731	NA	NA
S_119	A112CoCpR4_S457_L001_MINLEN-MAXLEN.q25_fixlized.fa	A112CoCpR4	G1	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.5045	0.00636396103067893	0	0	0.4955	0.00636396103067893	NA	NA
S_12	A005CoNtR1_S302_L001_MINLEN-MAXLEN.q25_fixlized.fa	A005CoNtR1	B2	10	R1	water	Nt	sink	x	x	sc_samples	10	no	0.3265	0.00636396103067893	0.025	0.00707106781186547	0.6485	0.000707106781186548	NA	NA
S_120	A113CoCpR4_S458_L001_MINLEN-MAXLEN.q25_fixlized.fa	A113CoCpR4	G2	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.4945	0.0106066017177982	0	0	0.5055	0.0106066017177982	NA	NA
S_121	A114CoCpR4_S459_L001_MINLEN-MAXLEN.q25_fixlized.fa	A114CoCpR4	G3	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.511	0.00565685424949239	0	0	0.489	0.00565685424949239	NA	NA
S_122	A115CoCpR4_S469_L001_MINLEN-MAXLEN.q25_fixlized.fa	A115CoCpR4	H1	8.4436	R4	water	Cp	sink	x	x	sc_samples	59	no	0.1735	0.000707106781186529	0.002	0.00282842712474619	0.8245	0.00212132034355957	NA	NA
S_123	A116CoCpR4_S470_L001_MINLEN-MAXLEN.q25_fixlized.fa	A116CoCpR4	H2	5.4338	R4	water	Cp	sink	x	x	sc_samples	59	no	0.1915	0.000707106781186548	0	0	0.8085	0.000707106781186548	NA	NA
S_124	A117CoCpR4_S471_L001_MINLEN-MAXLEN.q25_fixlized.fa	A117CoCpR4	H3	6.565	R4	water	Cp	sink	x	x	sc_samples	59	no	0.1575	0.00919238815542513	0.0015	0.00212132034355964	0.841	0.0113137084989848	NA	NA
S_125	A118CoCpR4_S388_L001_MINLEN-MAXLEN.q25_fixlized.fa	A118CoCpR4	A4	8.1204	R4	water	Cp	sink	x	x	sc_samples	59	no	0.133	0.0226274169979695	0.009	0.0127279220613579	0.858	0.00989949493661167	NA	NA
S_126	A119CoCpR4_S389_L001_MINLEN-MAXLEN.q25_fixlized.fa	A119CoCpR4	A5	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.075	0.0127279220613579	0	0	0.925	0.0127279220613579	NA	NA
S_127	A120CoCpR4_S390_L001_MINLEN-MAXLEN.q25_fixlized.fa	A120CoCpR4	A6	6.0398	R4	water	Cp	sink	x	x	sc_samples	59	no	0.0725	0.00494974746830583	0.017	0.00848528137423857	0.9105	0.00353553390593274	NA	NA
S_128	A121MaNtR4_S400_L001_MINLEN-MAXLEN.q25_fixlized.fa	A121MaNtR4	B4	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.083	0.00424264068711928	0.028	0.00282842712474619	0.889	0.00707106781186548	NA	NA
S_129	A122MaNtR4_S401_L001_MINLEN-MAXLEN.q25_fixlized.fa	A122MaNtR4	B5	8.686	R4	water	Nt	sink	x	x	sc_samples	59	no	0.0795	0.00636396103067893	0.02	0.00282842712474619	0.9005	0.00353553390593274	NA	NA
S_13	A006CoNtR1_S313_L001_MINLEN-MAXLEN.q25_fixlized.fa	A006CoNtR1	C1	2.8179	R1	water	Nt	sink	x	x	sc_samples	10	no	0	0	0.4965	0.0134350288425444	0.5035	0.0134350288425444	NA	NA
S_130	A123MaNtR4_S402_L001_MINLEN-MAXLEN.q25_fixlized.fa	A123MaNtR4	B6	8.2416	R4	water	Nt	sink	x	x	sc_samples	59	no	0.0625	0.0148492424049175	0.0235	0.00212132034355964	0.914	0.0169705627484772	NA	NA
S_131	A124MaNtR4_S412_L001_MINLEN-MAXLEN.q25_fixlized.fa	A124MaNtR4	C4	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.0195	0.00636396103067893	0.014	0.00707106781186548	0.9665	0.000707106781186548	NA	NA
S_132	A125MaNtR4_S413_L001_MINLEN-MAXLEN.q25_fixlized.fa	A125MaNtR4	C5	6.9084	R4	water	Nt	sink	x	x	sc_samples	59	no	0.058	0.00282842712474619	0.016	0	0.926	0.00282842712474619	NA	NA
S_133	A126MaNtR4_S414_L001_MINLEN-MAXLEN.q25_fixlized.fa	A126MaNtR4	C6	10	R4	water	Nt	sink	x	x	sc_samples	59	no	0.022	0.00565685424949238	0.013	0.00707106781186547	0.965	0.0014142135623731	NA	NA
S_134	A127MaCpR4_S424_L001_MINLEN-MAXLEN.q25_fixlized.fa	A127MaCpR4	D4	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.106	0.00989949493661166	0.075	0	0.819	0.0098994949366116	NA	NA
S_135	A128MaCpR4_S425_L001_MINLEN-MAXLEN.q25_fixlized.fa	A128MaCpR4	D5	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.1175	0.000707106781186538	0.0925	0.00353553390593274	0.79	0.00282842712474619	NA	NA
S_136	A129MaCpR4_S426_L001_MINLEN-MAXLEN.q25_fixlized.fa	A129MaCpR4	D6	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.114	0.00424264068711929	0.061	0.0014142135623731	0.825	0.00565685424949239	NA	NA
S_137	A130MaCpR4_S436_L001_MINLEN-MAXLEN.q25_fixlized.fa	A130MaCpR4	E4	9.2314	R4	water	Cp	sink	x	x	sc_samples	59	no	0.1055	0.00494974746830584	0.093	0.00282842712474619	0.8015	0.00212132034355964	NA	NA
S_138	A131MaCpR4_S437_L001_MINLEN-MAXLEN.q25_fixlized.fa	A131MaCpR4	E5	10	R4	water	Cp	sink	x	x	sc_samples	59	no	0.12	0	0.0705	0.00353553390593273	0.8095	0.00353553390593274	NA	NA
S_139	A132MaCpR4_S438_L001_MINLEN-MAXLEN.q25_fixlized.fa	A132MaCpR4	E6	9.494	R4	water	Cp	sink	x	x	sc_samples	59	no	0.087	0.00707106781186547	0.088	0.00424264068711928	0.825	0.00282842712474619	NA	NA
S_14	A007CoNtR1_S314_L001_MINLEN-MAXLEN.q25_fixlized.fa	A007CoNtR1	C2	4.3127	R1	water	Nt	sink	x	x	sc_samples	10	no	0	0	0.513	0.00282842712474619	0.487	0.00282842712474619	NA	NA
S_140	A133MaCpR4_S448_L001_MINLEN-MAXLEN.q25_fixlized.fa	A133MaCpR4	F4	7.6154	R4	water	Cp	sink	x	x	sc_samples	59	no	0.023	0.00424264068711928	0.1115	0.00353553390593274	0.8655	0.00777817459305203	NA	NA
S_141	A134MaCpR4_S449_L001_MINLEN-MAXLEN.q25_fixlized.fa	A134MaCpR4	F5	6.0802	R4	water	Cp	sink	x	x	sc_samples	59	no	0.013	0.00282842712474619	0.1285	0.000707106781186548	0.8585	0.00212132034355964	NA	NA
S_142	A135MaCpR4_S450_L001_MINLEN-MAXLEN.q25_fixlized.fa	A135MaCpR4	F6	9.4334	R4	water	Cp	sink	x	x	sc_samples	59	no	0.018	0.00282842712474619	0.106	0.0014142135623731	0.876	0.00424264068711929	NA	NA
S_143	A136CoNtR5_S460_L001_MINLEN-MAXLEN.q25_fixlized.fa	A136CoNtR5	G4	1.0134	R5	water	Nt	sink	x	x	sc_samples	80	no	0.1335	0.00353553390593274	0	0	0.8665	0.00353553390593274	NA	NA
S_144	A137CoNtR5_S461_L001_MINLEN-MAXLEN.q25_fixlized.fa	A137CoNtR5	G5	0.404	R5	water	Nt	sink	x	x	sc_samples	80	no	0.1325	0.00494974746830584	0	0	0.8675	0.00494974746830584	NA	NA
S_145	A138CoNtR5_S462_L001_MINLEN-MAXLEN.q25_fixlized.fa	A138CoNtR5	G6	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.098	0.0226274169979695	0	0	0.902	0.0226274169979695	NA	NA
S_146	A139CoNtR5_S472_L001_MINLEN-MAXLEN.q25_fixlized.fa	A139CoNtR5	H4	8.9082	R5	water	Nt	sink	x	x	sc_samples	80	no	0.167	0.00282842712474619	0	0	0.833	0.00282842712474619	NA	NA
S_147	A140CoNtR5_S473_L001_MINLEN-MAXLEN.q25_fixlized.fa	A140CoNtR5	H5	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.1485	0.00777817459305203	0	0	0.8515	0.00777817459305203	NA	NA
S_148	A141CoNtR5_S474_L001_MINLEN-MAXLEN.q25_fixlized.fa	A141CoNtR5	H6	6.6862	R5	water	Nt	sink	x	x	sc_samples	80	no	0.1755	0.00636396103067891	0.089	0.00282842712474619	0.7355	0.00353553390593274	NA	NA
S_149	A142CoNtR5_S391_L001_MINLEN-MAXLEN.q25_fixlized.fa	A142CoNtR5	A7	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.092	0.00565685424949239	0.0885	0.0120208152801713	0.8195	0.00636396103067893	NA	NA
S_15	A008CoNtR1_S315_L001_MINLEN-MAXLEN.q25_fixlized.fa	A008CoNtR1	C3	4.0501	R1	water	Nt	sink	x	x	sc_samples	10	no	0	0	0.4535	0.00636396103067893	0.5465	0.00636396103067893	NA	NA
S_150	A143CoNtR5_S392_L001_MINLEN-MAXLEN.q25_fixlized.fa	A143CoNtR5	A8	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.0705	0.000707106781186538	0.0885	0.000707106781186548	0.841	0.0014142135623731	NA	NA
S_151	A144CoNtR5_S393_L001_MINLEN-MAXLEN.q25_fixlized.fa	A144CoNtR5	A9	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.0835	0.00636396103067892	0.0985	0.00636396103067892	0.818	0.0127279220613578	NA	NA
S_152	A145CoCpR5_S403_L001_MINLEN-MAXLEN.q25_fixlized.fa	A145CoCpR5	B7	6.363	R5	water	Cp	sink	x	x	sc_samples	80	no	0.004	0.00565685424949238	0.111	0.0014142135623731	0.885	0.00707106781186548	NA	NA
S_153	A146CoCpR5_S404_L001_MINLEN-MAXLEN.q25_fixlized.fa	A146CoCpR5	B8	5.8984	R5	water	Cp	sink	x	x	sc_samples	80	no	5e-04	0.000707106781186548	0.1235	0.00353553390593274	0.876	0.00424264068711929	NA	NA
S_154	A147CoCpR5_S405_L001_MINLEN-MAXLEN.q25_fixlized.fa	A147CoCpR5	B9	4.1208	R5	water	Cp	sink	x	x	sc_samples	80	no	0.0125	0.0176776695296637	0.093	0.00848528137423858	0.8945	0.00919238815542513	NA	NA
S_155	A148CoCpR5_S415_L001_MINLEN-MAXLEN.q25_fixlized.fa	A148CoCpR5	C7	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.3075	0.00636396103067893	0	0	0.6925	0.00636396103067893	NA	NA
S_156	A149CoCpR5_S416_L001_MINLEN-MAXLEN.q25_fixlized.fa	A149CoCpR5	C8	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.2825	0.00212132034355961	0	0	0.7175	0.00212132034355964	NA	NA
S_157	A150CoCpR5_S417_L001_MINLEN-MAXLEN.q25_fixlized.fa	A150CoCpR5	C9	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.275	0.00424264068711929	0	0	0.725	0.00424264068711929	NA	NA
S_158	A151CoCpR5_S427_L001_MINLEN-MAXLEN.q25_fixlized.fa	A151CoCpR5	D7	7.777	R5	water	Cp	sink	x	x	sc_samples	80	no	0.2655	0.00919238815542513	0.084	0.00424264068711928	0.6505	0.00494974746830584	NA	NA
S_159	A152CoCpR5_S428_L001_MINLEN-MAXLEN.q25_fixlized.fa	A152CoCpR5	D8	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.2565	0.0247487373415292	0.1165	0.00494974746830583	0.627	0.0197989898732233	NA	NA
S_16	A009CoCpR1_S325_L001_MINLEN-MAXLEN.q25_fixlized.fa	A009CoCpR1	D1	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.259	0.00565685424949239	0.176	0.00282842712474619	0.565	0.0084852813742385	NA	NA
S_160	A153MaNtR5_S439_L001_MINLEN-MAXLEN.q25_fixlized.fa	A153MaNtR5	E7	8.9688	R5	water	Nt	sink	x	x	sc_samples	80	no	0.086	0.015556349186104	0.053	0	0.861	0.0155563491861041	NA	NA
S_161	A154MaNtR5_S440_L001_MINLEN-MAXLEN.q25_fixlized.fa	A154MaNtR5	E8	10	R5	water	Nt	sink	x	x	sc_samples	80	no	0.0405	0.0148492424049175	0.068	0	0.8915	0.0148492424049175	NA	NA
S_162	A155MaNtR5_S441_L001_MINLEN-MAXLEN.q25_fixlized.fa	A155MaNtR5	E9	4.5046	R5	water	Nt	sink	x	x	sc_samples	80	no	0.184	0.00282842712474619	0.182	0.0014142135623731	0.634	0.00424264068711929	NA	NA
S_163	A156MaNtR5_S451_L001_MINLEN-MAXLEN.q25_fixlized.fa	A156MaNtR5	F7	1.7978	R5	water	Nt	sink	x	x	sc_samples	80	no	0.227	0.00565685424949239	0.1175	0.00777817459305202	0.6555	0.00212132034355964	NA	NA
S_164	A157MaNtR5_S452_L001_MINLEN-MAXLEN.q25_fixlized.fa	A157MaNtR5	F8	3.9996	R5	water	Nt	sink	x	x	sc_samples	80	no	0.2285	0.0190918830920368	0.1255	0.00494974746830584	0.646	0.014142135623731	NA	NA
S_165	A158MaNtR5_S453_L001_MINLEN-MAXLEN.q25_fixlized.fa	A158MaNtR5	x	R5	water	Nt	Ma	source	x	sc_samples	80	no		NA	NA	NA	NA	NA	NA	NA	NA
S_166	A159MaCpR5_S463_L001_MINLEN-MAXLEN.q25_fixlized.fa	A159MaCpR5	G7	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.033	0.0014142135623731	0.0275	0.00212132034355964	0.9395	0.000707106781186548	NA	NA
S_167	A160MaCpR5_S464_L001_MINLEN-MAXLEN.q25_fixlized.fa	A160MaCpR5	G8	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.056	0	0.0245	0.00353553390593274	0.9195	0.00353553390593274	NA	NA
S_168	A161MaCpR5_S465_L001_MINLEN-MAXLEN.q25_fixlized.fa	A161MaCpR5	G9	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.051	0.00424264068711928	0.0265	0.000707106781186548	0.9225	0.00353553390593274	NA	NA
S_169	A162MaCpR5_S476_L001_MINLEN-MAXLEN.q25_fixlized.fa	A162MaCpR5	H8	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.1125	0.00919238815542512	0.1235	0.00212132034355964	0.764	0.0113137084989848	NA	NA
S_17	A010CoCpR1_S326_L001_MINLEN-MAXLEN.q25_fixlized.fa	A010CoCpR1	D2	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.249	0.00848528137423858	0.1665	0.00919238815542511	0.5845	0.0176776695296637	NA	NA
S_170	A163MaCpR5_S477_L001_MINLEN-MAXLEN.q25_fixlized.fa	A163MaCpR5	H9	10	R5	water	Cp	sink	x	x	sc_samples	80	no	0.0875	0.00353553390593273	0.108	0.00424264068711929	0.8045	0.00777817459305203	NA	NA
S_171	A164MaCpR5_S394_L001_MINLEN-MAXLEN.q25_fixlized.fa	A164MaCpR5	A10	9.393	R5	water	Cp	sink	x	x	sc_samples	80	no	0.0325	0.00494974746830583	0.1175	0.00494974746830583	0.85	0.00989949493661167	NA	NA
S_172	A165MaCpR5_S395_L001_MINLEN-MAXLEN.q25_fixlized.fa	A165MaCpR5	A11	6.5852	R5	water	Cp	sink	x	x	sc_samples	80	no	0.0185	0.00494974746830583	0.1675	0.00353553390593274	0.814	0.0084852813742385	NA	NA
S_173	A166MaCpR5_S396_L001_MINLEN-MAXLEN.q25_fixlized.fa	A166MaCpR5	A12	5.01061	R5	water	Cp	sink	x	x	sc_samples	80	no	0.0445	0.00919238815542512	0.142	0.00282842712474617	0.8135	0.0120208152801712	NA	NA
S_174	A167CoNtR6_S406_L001_MINLEN-MAXLEN.q25_fixlized.fa	A167CoNtR6	B10	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.0855	0.000707106781186538	0.001	0.0014142135623731	0.9135	0.00212132034355964	NA	NA
S_175	A168CoNtR6_S407_L001_MINLEN-MAXLEN.q25_fixlized.fa	A168CoNtR6	B11	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.096	0.00282842712474619	0	0	0.904	0.00282842712474619	NA	NA
S_176	A169CoNtR6_S408_L001_MINLEN-MAXLEN.q25_fixlized.fa	A169CoNtR6	B12	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.062	0.0113137084989848	0	0	0.938	0.0113137084989847	NA	NA
S_177	A170CoNtR6_S418_L001_MINLEN-MAXLEN.q25_fixlized.fa	A170CoNtR6	C10	9.3728	R6	water	Nt	sink	x	x	sc_samples	108	no	0.157	0.0014142135623731	0	0	0.843	0.0014142135623731	NA	NA
S_178	A171CoNtR6_S419_L001_MINLEN-MAXLEN.q25_fixlized.fa	A171CoNtR6	C11	9.3728	R6	water	Nt	sink	x	x	sc_samples	108	no	0.218	0.00565685424949239	0	0	0.782	0.00565685424949239	NA	NA
S_179	A172CoNtR6_S420_L001_MINLEN-MAXLEN.q25_fixlized.fa	A172CoNtR6	C12	7.25281	R6	water	Nt	sink	x	x	sc_samples	108	no	0.1425	0.0106066017177982	0	0	0.8575	0.0106066017177982	NA	NA
S_18	A011CoCpR1_S327_L001_MINLEN-MAXLEN.q25_fixlized.fa	A011CoCpR1	D3	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.2805	0.0134350288425444	0.146	0.0113137084989847	0.5735	0.00212132034355964	NA	NA
S_180	A173CoNtR6_S430_L001_MINLEN-MAXLEN.q25_fixlized.fa	A173CoNtR6	D10	4.5046	R6	water	Nt	sink	x	x	sc_samples	108	no	0.067	0.00707106781186547	0.007	0.0014142135623731	0.926	0.00565685424949239	NA	NA
S_181	A174CoNtR6_S431_L001_MINLEN-MAXLEN.q25_fixlized.fa	A174CoNtR6	D11	8.5648	R6	water	Nt	sink	x	x	sc_samples	108	no	0.0985	0.00494974746830583	0	0	0.9015	0.00494974746830584	NA	NA
S_182	A175CoNtR6_S432_L001_MINLEN-MAXLEN.q25_fixlized.fa	A175CoNtR6	D12	5.57116	R6	water	Nt	sink	x	x	sc_samples	108	no	0.0835	0.000707106781186548	0	0	0.9165	0.000707106781186548	NA	NA
S_183	A176CoCpR6_S442_L001_MINLEN-MAXLEN.q25_fixlized.fa	A176CoCpR6	E10	7.7568	R6	water	Cp	sink	x	x	sc_samples	108	no	0.093	0.0014142135623731	0	0	0.907	0.0014142135623731	NA	NA
S_184	A177CoCpR6_S443_L001_MINLEN-MAXLEN.q25_fixlized.fa	A177CoCpR6	E11	10	R6	water	Cp	sink	x	x	sc_samples	108	no	0.0945	0.00777817459305203	0	0	0.9055	0.00777817459305203	NA	NA
S_185	A178CoCpR6_S444_L001_MINLEN-MAXLEN.q25_fixlized.fa	A178CoCpR6	E12	6.04081	R6	water	Cp	sink	x	x	sc_samples	108	no	0.094	0.0014142135623731	0.0045	0.00636396103067893	0.9015	0.00494974746830584	NA	NA
S_186	A179CoCpR6_S454_L001_MINLEN-MAXLEN.q25_fixlized.fa	A179CoCpR6	F10	9.191	R6	water	Cp	sink	x	x	sc_samples	108	no	0.0555	0.00353553390593274	0.016	0.00565685424949238	0.9285	0.00212132034355964	NA	NA
S_187	A180CoCpR6_S455_L001_MINLEN-MAXLEN.q25_fixlized.fa	A180CoCpR6	F11	10	R6	water	Cp	sink	x	x	sc_samples	108	no	0.0725	0.00919238815542512	0	0	0.9275	0.00919238815542513	NA	NA
S_188	A181CoCpR6_S456_L001_MINLEN-MAXLEN.q25_fixlized.fa	A181CoCpR6	F12	7.23766	R6	water	Cp	sink	x	x	sc_samples	108	no	0.083	0.00424264068711928	0	0	0.917	0.00424264068711929	NA	NA
S_189	A182CoCpR6_S466_L001_MINLEN-MAXLEN.q25_fixlized.fa	A182CoCpR6	G10	3.0098	R6	water	Cp	sink	x	x	sc_samples	108	no	0.0575	0.0134350288425444	0	0	0.9425	0.0134350288425443	NA	NA
S_19	A012CoCpR1_S337_L001_MINLEN-MAXLEN.q25_fixlized.fa	A012CoCpR1	E1	10	R1	water	Cp	sink	x	x	sc_samples	10	no	0.215	0.00565685424949239	0.141	0.00848528137423856	0.644	0.014142135623731	NA	NA
S_190	A183CoCpR6_S467_L001_MINLEN-MAXLEN.q25_fixlized.fa	A183CoCpR6	G11	8.8072	R6	water	Cp	sink	x	x	sc_samples	108	no	0	0	0.0525	0.000707106781186548	0.9475	0.000707106781186548	NA	NA
S_191	A184CoCpR6_S468_L001_MINLEN-MAXLEN.q25_fixlized.fa	A184CoCpR6	G12	6.28321	R6	water	Cp	sink	x	x	sc_samples	108	no	0.0335	0.000707106781186548	0.038	0.00424264068711928	0.9285	0.00494974746830584	NA	NA
S_192	A185MaNtR6_S479_L001_MINLEN-MAXLEN.q25_fixlized.fa	A185MaNtR6	H11	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.45833335	0.0589255415286529	0	0	0.54166665	0.058925541528653	NA	NA
S_193	A186MaNtR6_S480_L001_MINLEN-MAXLEN.q25_fixlized.fa	A186MaNtR6	H12	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0	0	0	0	1	0	NA	NA
S_194	A187MaNtR6_S481_L001_MINLEN-MAXLEN.q25_fixlized.fa	A187MaNtR6	A1	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.106	0.014142135623731	0.0755	0.00212132034355964	0.8185	0.0120208152801712	NA	NA
S_195	A188MaNtR6_S482_L001_MINLEN-MAXLEN.q25_fixlized.fa	A188MaNtR6	A2	10	R6	water	Nt	sink	x	x	sc_samples	108	no	0.1375	0.0148492424049175	0.0435	0.00212132034355964	0.819	0.0127279220613578	NA	NA
