id	project	name	bps	sequences	biome	feature	material	enviroment&nbsp;package	sequencing&nbsp;type	location	avg&nbsp;seq&nbsp;length		select
4440067.3	Microbialites	PAStromBahamasMic20050722	33849523	326146	marine habitat	marine habitat	marine habitat	unknown	WGS	Pozas Azules II	103.786	public	
4440090.3	Chula Vista, CA Solar Saltern Study	LowSalternPlaSDbay20051122	11122989	111431	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	99.820	public	
4440102.3	Tampa Bay Viral Metagenome	TBPhageInduction20051213	29107293	280019	marine habitat	marine habitat	marine habitat	water	WGS	Tampa Bay, CA	103.948	public	
4440304.3	Marine Phages	GOMVir1994to2001	26809683	263908	marine habitat	marine habitat	marine habitat	water	WGS	Gulf of Mexico	101.587	public	
4440305.3	Marine Phages	BBCVir1996to2004	42535763	416456	marine habitat	marine habitat	marine habitat	water	WGS	Strait of Georgia and adjacent inlets, Barclay Sound	102.137	public	
4440306.3	Marine Phages	ArcticVir2002	68276453	688590	marine habitat	marine habitat	marine habitat	water	WGS	the Arctic Ocean, the Strait of Georgia,	99.154	public	
4440163.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_cDNA	31681620	136115	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	232.756	public	
4440166.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_19thMay_cDNA	26982195	116192	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	232.221	public	
4440165.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_13thMay_cDNA	38021523	162871	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	233.446	public	
4440319.3	Stressed Coral Holobionts	BocasPAMic20050921	32282404	316279	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Bocas del Toro	102.069	public	
4440320.3	Microbialites	PAStromCCMexVir20050722	31704691	302987	marine habitat	marine habitat	marine habitat	unknown	WGS	Pozas Azules II	104.640	public	
4440321.3	Microbialites	RMStromCCMexVir20050722	34251849	328656	marine habitat	marine habitat	marine habitat	unknown	WGS	Rio Mesquites	104.218	public	
4440322.3	Marine Phages	SARVir20050630	41653979	399343	marine habitat	marine habitat	marine habitat	water	WGS	Sargasso Sea, Hydrostation S	104.306	public	
4440323.3	Microbialites	HBCStromBahamasVir20050111	15099772	150223	marine habitat	marine habitat	marine habitat	unknown	WGS	Highborne Cay Island	100.516	public	
4440324.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic20051110	4632200	49074	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	94.392	public	
4440325.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051111	3512587	35053	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.208	public	
4440327.3	Salton Sea 	SaltonSea1Vir20060823	5779801	55787	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	WGS	Salton Sea, California	103.605	public	
4440328.3	Salton Sea 	SaltonSea2Vir20060823	2973124	29970	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	WGS	Salton Sea, California	99.203	public	
4440329.3	Salton Sea 	SaltonSeaMic20060823	18876339	178407	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	WGS	Salton Sea, California	105.805	public	
4440330.3	Skan Bay, Alaska Ocean Viruses	SkanBayAlaskaVir20060927	3280591	31375	sediment	sediment	sediment	sediment	WGS	Skan Bay, Alaska	104.561	public	
4440358.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP21SeawaterMic200511	3882661	41461	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	93.646	public	
4440359.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN11SeawaterMic200511	2710130	29104	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	93.119	public	
4440360.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP2SeawaterMic200511	4813851	50313	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	95.678	public	
4440362.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP11SeawaterMic200511	4202321	44246	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	94.976	public	
4440361.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN21SeawaterMic200511	3867992	40480	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	95.553	public	
4440363.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN2SeawaterMic200511	3269294	33773	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	96.802	public	
4440364.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP1SeawaterMic200511	5279589	54848	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	96.259	public	
4440365.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN1SeawaterMic200511	1190841	12446	marine habitat	marine habitat	marine habitat	water	WGS	Sapelo Island, GA	95.681	public	
4440372.3	Stressed Coral Holobionts	DOCPorCompHawMic200602	7282501	62959	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	115.671	public	
4440371.3	Stressed Coral Holobionts	pHPorCompHawVir200602	5274525	50364	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	104.728	public	
4440374.3	Stressed Coral Holobionts	ConPorCompHawVir200602	4079432	39340	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	103.697	public	
4440370.3	Stressed Coral Holobionts	DOCPorCompVirHaw200602	3645606	35680	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	102.175	public	
4440373.3	Stressed Coral Holobionts	TempPorCompHawMic200602	6770580	61356	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	110.349	public	
4440379.3	Stressed Coral Holobionts	pHPorCompHawMic200602	7709872	67994	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	113.390	public	
4440375.3	Stressed Coral Holobionts	TempPorCompHawVir200602	4425894	39036	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	113.380	public	
4440378.3	Stressed Coral Holobionts	ConPorCompHawMic200602	7762920	65191	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	119.080	public	
4440380.3	Stressed Coral Holobionts	T0PortComHawMic20060223	6158805	53473	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	115.176	public	
4440376.3	Stressed Coral Holobionts	T0PortComHawVir20060223	3978972	39270	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	101.323	public	
4440377.3	Stressed Coral Holobionts	NutPorCompHawVir200602	3690641	34433	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	107.183	public	
4440381.3	Stressed Coral Holobionts	NutPorCompHawMic200602	7497959	65008	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Hawaii Institute of Marine Biology	115.339	public	
4440413.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic20060504	6484135	63978	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	101.349	public	
4440411.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	PrePondKentSTMic20060504	4428989	44094	freshwater	freshwater	freshwater	water	WGS	prebead pond at Kent SeaTech, Salton Sea, CA	100.444	public	
4440412.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTVir20060504	6096272	60319	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	101.067	public	
4440414.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	PrePondKentSTVir20060504	7017317	67988	freshwater	freshwater	freshwater	water	WGS	prebead pond at Kent SeaTech, Salton Sea, CA	103.214	public	
4440417.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051122	5634444	55903	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.790	public	
4440164.6	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_19thMay_cDNA	21805955	96201	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	226.671	public	
4440212.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_DNA	47289202	209073	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	226.185	public	
4440213.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_May13th_DNA	30991689	134915	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	229.713	public	
4440145.4	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051207	4860804	47587	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	102.146	public	
4440416.3	Chula Vista, CA Solar Saltern Study	MedSalterSDbayMic20051128	705995	8062	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	87.571	public	
4440144.4	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051128	465209	4645	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.153	public	
4440419.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMic20051128	3711295	35446	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	104.703	public	
4440420.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir20051128	6511083	62685	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	103.870	public	
4440423.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	Tilapia pond microbes Duplicate	38804235	381076	freshwater	freshwater	freshwater	unknown	WGS	unknown	101.828	public	
4440421.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051116	15379956	154167	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	99.762	public	
4440425.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051116	11867028	120987	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	98.085	public	
4440424.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTVir200608	5773797	57134	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	101.057	public	
4440422.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic200608	6932903	67612	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	102.540	public	
4440426.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic20051128	3453306	34296	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.691	public	
4440427.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051128	4011661	39943	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.435	public	
4440428.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051116	5762444	58735	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	98.109	public	
4440430.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicA200407	7982909	78524	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	101.662	public	
4440429.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicB200407	4028912	39553	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	101.861	public	
4440433.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicC200407	12641571	123879	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	102.048	public	
4440432.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir20051110	11532248	110511	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	104.354	public	
4440431.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051110	4013169	39578	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	101.399	public	
4440435.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051110	3905955	38929	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	100.335	public	
4440434.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051111	2323241	23261	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	99.877	public	
4440436.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir200407	28054297	268534	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	104.472	public	
4440437.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic200407	25280522	268206	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	94.258	public	
4440438.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicD200407	34806789	340725	marine biome	saline evaporation pond	saline water	water	WGS	Chula Vista, CA	102.155	public	
4440439.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TpondKentSTVir200511	27366887	267640	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	102.253	public	
4440440.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic200511	38804235	381076	freshwater	freshwater	freshwater	water	WGS	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	101.828	public	
4440441.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep3SDVir20060505	7443127	92223	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	80.708	public	
4440442.4	Human Lung Healthy vs Cystic Fibrosis Metagenome	HealSputRep3SDVir20060707	3375494	39807	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	84.796	public	
4440442.5	Human Lung Healthy vs Cystic Fibrosis Metagenome	HealSputRep2SDVir20060707	80663537	770825	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	104.646	public	
4440463.3	Human Faeces - Turnbaugh	LeanMouseCecumMic2005	8478662	10845	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Washington University, St. Louis, MI	781.804	public	
4440464.3	Human Faeces - Turnbaugh	ObeseMouseCecumMic2005	9067143	11857	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Washington University, St. Louis, MI	764.708	public	
4440452.7	Twin Gut Microflora Study	TS1	54632274	229857	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	237.679	public	
4440453.6	Twin Gut Microflora Study	TS2	87628331	502124	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	174.515	public	
4440460.5	Twin Gut Microflora Study	TS4	102844045	455361	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	225.852	public	
4440461.5	Twin Gut Microflora Study	TS5	105923024	522134	human-associated habitat	human-associated habitat	human-associated habitat	human-gut	WGS	St. Louis, MO	202.866	public	
4440610.3	Twin Gut Microflora Study	TS19	88860492	552665	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	160.785	public	
4440611.3	Twin Gut Microflora Study	TS20	103097122	526727	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	195.732	public	
4440613.3	Twin Gut Microflora Study	TS28	102979597	312665	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	329.361	public	
4440616.3	Twin Gut Microflora Study	TS29	174824393	507928	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	344.191	public	
4440614.3	Twin Gut Microflora Study	TS49	98535846	568898	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	173.205	public	
4440615.3	Twin Gut Microflora Study	TS50	124867948	622554	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	200.574	public	
4440060.4	Microbialites	Rio Mesquites Bacteria	13334570	124694	marine habitat	marine habitat	marine habitat	unknown	WGS	Rio Mesquites	106.938	public	
4440595.4	Twin Gut Microflora Study	TS3	111427956	562205	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	198.198	public	
4440639.3	Twin Gut Microflora Study	TS21	93430618	440521	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	212.091	public	
4440640.3	Twin Gut Microflora Study	TS51	99497413	547519	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	181.724	public	
4440462.5	Twin Gut Microflora Study	TS6	133707491	612660	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	218.241	public	
4440823.3	Twin Gut Microflora Study	TS7	134889015	555853	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	242.670	public	
4440824.3	Twin Gut Microflora Study	TS8	100520072	414497	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	242.511	public	
4440826.3	Twin Gut Microflora Study	TS9	124768172	499499	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	249.787	public	
4440825.3	Twin Gut Microflora Study	TS30	94405318	495865	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	St. Louis, MO	190.385	public	
4440939.3	Human Faeces - Kurokawa	human F1-S	38010851	28900	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1315.254	public	
4440941.3	Human Faeces - Kurokawa	human F1-T	43259070	36326	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1190.857	public	
4440940.3	Human Faeces - Kurokawa	human F1-U	24369492	16539	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1473.456	public	
4440942.3	Human Faeces - Kurokawa	human F2-V	45906118	36455	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1259.254	public	
4440943.3	Human Faeces - Kurokawa	human F2-W	40076128	30198	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1327.112	public	
4440944.3	Human Faeces - Kurokawa	human F2-X	39071077	31237	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1250.795	public	
4440947.3	Human Faeces - Kurokawa	human F2-Y	45480292	35177	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1292.899	public	
4440946.3	Human Faeces - Kurokawa	human In-A	29296224	20226	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1448.444	public	
4440945.3	Human Faeces - Kurokawa	human In-B	14499070	9958	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1456.022	public	
4440948.3	Human Faeces - Kurokawa	human In-D	46397089	37296	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1244.023	public	
4440950.3	Human Faeces - Kurokawa	human In-E	27208886	20532	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1325.194	public	
4440949.3	Human Faeces - Kurokawa	human In-M	25941797	16164	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1604.912	public	
4440951.3	Human Faeces - Kurokawa	human In-R	43473860	34797	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	WGS	unknown	1249.357	public	
4440960.3	Peru Margin Subseafloor Biosphere	1229 1 mbsf ORIGINAL	11178919	107977	sediment	sediment	sediment	unknown	WGS	Ocean Drilling Program leg 201, site 1229	103.531	public	
4440961.3	Peru Margin Subseafloor Biosphere	1229 1mbsf AMPLIFIED	12970945	125842	sediment	sediment	sediment	unknown	WGS	Ocean Drilling Program leg 201, site 1229	103.073	public	
4440964.3	Guerrero Negro Metagenomes	Guerrero Negro 0-1mm	8596350	12218	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	703.581	public	
4440963.3	Guerrero Negro Metagenomes	Guerrero Negro 1-2mm	7469572	11574	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	645.375	public	
4440965.3	Guerrero Negro Metagenomes	Guerrero Negro 2-3mm	8286576	12419	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	667.250	public	
4440966.3	Guerrero Negro Metagenomes	Guerrero Negro 3-4mm	8215056	12824	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	640.600	public	
4440967.3	Guerrero Negro Metagenomes	Guerrero Negro 4-5mm	9803980	15663	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	625.932	public	
4440969.3	Guerrero Negro Metagenomes	Guerrero Negro 5-6mm	8377132	12531	microbial mat	microbial mat	microbial mat	unknown	WGS	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	668.513	public	
